source|relation|target
Advanced Concepts and Current Topics in Biological Physics (B7: Light-responsive Biological Circuits)|Vorlesungsnummer|14256
Advanced Concepts and Current Topics in Biological Physics (B7: Light-responsive Biological Circuits)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B7: Light-responsive Biological Circuits)|Dozent|Andreas Möglich
Advanced Concepts and Current Topics in Biological Physics (B7: Light-responsive Biological Circuits)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (B1: Modelling and design of protein structures)|Vorlesungsnummer|14250
Advanced Concepts and Current Topics in Biological Physics (B1: Modelling and design of protein structures)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B1: Modelling and design of protein structures)|Dozent|Birte Höcker
Advanced Concepts and Current Topics in Biological Physics (B1: Modelling and design of protein structures)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (B2: Prokaryotic organelle biogenesis and magneto-chemotactic mobility)|Vorlesungsnummer|14251
Advanced Concepts and Current Topics in Biological Physics (B2: Prokaryotic organelle biogenesis and magneto-chemotactic mobility)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B2: Prokaryotic organelle biogenesis and magneto-chemotactic mobility)|Dozent|Dirk Schüler
Advanced Concepts and Current Topics in Biological Physics (B2: Prokaryotic organelle biogenesis and magneto-chemotactic mobility)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (B4:Visualization of cell organelles: dynamics and ultrastructure)|Vorlesungsnummer|14253
Advanced Concepts and Current Topics in Biological Physics (B4:Visualization of cell organelles: dynamics and ultrastructure)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B4:Visualization of cell organelles: dynamics and ultrastructure)|Dozent|Benedikt Westermann
Advanced Concepts and Current Topics in Biological Physics (B4:Visualization of cell organelles: dynamics and ultrastructure)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (B5: Modeling of Charge Transfer Reactions in Complex Systems)|Vorlesungsnummer|14254
Advanced Concepts and Current Topics in Biological Physics (B5: Modeling of Charge Transfer Reactions in Complex Systems)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B5: Modeling of Charge Transfer Reactions in Complex Systems)|Dozent|Matthias Ullmann
Advanced Concepts and Current Topics in Biological Physics (B5: Modeling of Charge Transfer Reactions in Complex Systems)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (B6: Physics Problems in Animal Physiology)|Vorlesungsnummer|14255
Advanced Concepts and Current Topics in Biological Physics (B6: Physics Problems in Animal Physiology)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (B6: Physics Problems in Animal Physiology)|Dozent|Stefan Schuster
Advanced Concepts and Current Topics in Biological Physics (B6: Physics Problems in Animal Physiology)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P1: Biofluid simulations)|Vorlesungsnummer|14260
Advanced Concepts and Current Topics in Biological Physics (P1: Biofluid simulations)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P1: Biofluid simulations)|Dozent|Stephan Gekle
Advanced Concepts and Current Topics in Biological Physics (P1: Biofluid simulations)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P3: Single-molecule techniques in Biophysics)|Vorlesungsnummer|14262
Advanced Concepts and Current Topics in Biological Physics (P3: Single-molecule techniques in Biophysics)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P3: Single-molecule techniques in Biophysics)|Dozent|Jürgen Köhler
Advanced Concepts and Current Topics in Biological Physics (P3: Single-molecule techniques in Biophysics)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P4: Quantification of mechanical processes in living cells)|Vorlesungsnummer|14263
Advanced Concepts and Current Topics in Biological Physics (P4: Quantification of mechanical processes in living cells)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P4: Quantification of mechanical processes in living cells)|Dozent|Holger Kreß
Advanced Concepts and Current Topics in Biological Physics (P4: Quantification of mechanical processes in living cells)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P5: Calculating excitations in molecular systems)|Vorlesungsnummer|14264
Advanced Concepts and Current Topics in Biological Physics (P5: Calculating excitations in molecular systems)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P5: Calculating excitations in molecular systems)|Dozent|Stephan Kümmel
Advanced Concepts and Current Topics in Biological Physics (P5: Calculating excitations in molecular systems)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P6: Quantifying transport and binding events in living organisms)|Vorlesungsnummer|14265
Advanced Concepts and Current Topics in Biological Physics (P6: Quantifying transport and binding events in living organisms)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P6: Quantifying transport and binding events in living organisms)|Dozent|Matthias Weiss
Advanced Concepts and Current Topics in Biological Physics (P6: Quantifying transport and binding events in living organisms)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Advanced Concepts and Current Topics in Biological Physics (P7: Principles of self-organization in Biology and Physics)|Vorlesungsnummer|14266
Advanced Concepts and Current Topics in Biological Physics (P7: Principles of self-organization in Biology and Physics)|Veranstaltungsart|Vorlesung & Übung
Advanced Concepts and Current Topics in Biological Physics (P7: Principles of self-organization in Biology and Physics)|Dozent|Walter Zimmermann
Advanced Concepts and Current Topics in Biological Physics (P7: Principles of self-organization in Biology and Physics)|Veranstaltung von|Lehrstuhl für Mikrobiologie
Aktuelle Aspekte organischer Halbleiter|Vorlesungsnummer|14307
Aktuelle Aspekte organischer Halbleiter|Veranstaltungsart|Seminar
Aktuelle Aspekte organischer Halbleiter|Dozent|Annette Köhler
Aktuelle Aspekte organischer Halbleiter|Veranstaltung von|Experimentalphysik II
Aktuelle Aspekte zu hybriden Perowskiten|Vorlesungsnummer|00807
Aktuelle Aspekte zu hybriden Perowskiten|Veranstaltungsart|Seminar
Aktuelle Aspekte zu hybriden Perowskiten|Dozent|Fabian Panzer
Aktuelle Aspekte zu hybriden Perowskiten|Veranstaltung von|Experimentalphysik II
Aktuelle Probleme der Biophysik|Vorlesungsnummer|14304
Aktuelle Probleme der Biophysik|Veranstaltungsart|Seminar
Aktuelle Probleme der Biophysik|Dozent|Matthias Weiss
Aktuelle Probleme der Biophysik|Veranstaltung von|Experimentalphysik I
